LOCATION_ID,CITY_REGION,SEASON,DISPLAY_NAME,SHORT_TEXT,DURATION,NOTES_RULES,TAGS
KOL_KOLSAY_LAKES,Kolsay/Saty,all,Kolsai Lakes (Lower Kolsai),Pine-forest lake in the Tien Shan foothills; easy lakeside walk; great for nature photos.,1-3h on site + drive,Long drive from Almaty; best Apr–Oct; road conditions vary after rain.,nature;lake;easy;photo
KOL_KAINDY_LAKE,Kolsay/Saty,all,Kaindy Lake,Famous submerged forest with tree trunks in turquoise water; short hike; unique photo spot.,1-2h on site + drive,Often needs 4x4 in wet season; slippery trails; cold microclimate.,nature;lake;hike;photo;offroad
CHR_CHARYN_CANYON,Charyn,all,Charyn Canyon (Valley of Castles),Iconic red-rock canyon; viewpoints + optional hike to the river; top day-trip from Almaty.,2-4h on site + drive,Hot in summer: water/hat; windy/icy in winter: layers; keep edge safety.,canyon;nature;hike;photo
CHR_BLACK_CANYON,Charyn,all,Black Canyon,"Dark, dramatic canyon section near Charyn area; short scenic stops; good add-on to main canyon.",30-60m on site,Stop-based location; watch footing near edges.,canyon;scenic;photo;easy
CHR_MOON_CANYON,Charyn,all,Moon Canyon,Soft pale rock landscapes with 'lunar' shapes; short walk + viewpoints; great wide-angle photos.,45-90m on site,Loose ground; avoid after heavy rain; no shade—sun protection.,canyon;scenic;photo;easy
ALM_SHYMBULAK,Almaty,all,Shymbulak Ski Resort,"Mountain resort above Almaty; cable cars + panoramic views; skiing in winter, hikes in warm season.",2-5h,Weather changes fast; warm layer; weekends crowded—go early.,mountains;cablecar;ski;family;photo
ALM_MEDEU,Almaty,all,Medeu Skating Rink,High-altitude rink landmark; scenic valley; gateway to Shymbulak route.,30-90m,Check seasonal schedule if skating; stairs can be icy in winter.,city;mountains;easy;photo
AEM_ALTYN_EMEL_NP,Altyn Emel,summer,Altyn Emel National Park,Cinematic desert-mountain landscapes; dunes + colorful hills; often 1–2 days from Almaty.,Full day or 2D1N,Permit/fees may apply; early start; rough roads—4x4 recommended.,nationalpark;desert;photo;offroad
AEM_WILLOW_700Y,Altyn Emel,spring,700-Year-Old Willow,Historic old-tree landmark; quick cultural/photo stop inside park area.,20-40m,Best comfort spring/autumn; respect protected area rules.,landmark;photo;easy
AEM_SINGING_DUNE,Altyn Emel,summer,Singing Dune,Famous dune that can 'sing' in dry windy conditions; climb for panoramic views.,1.5-3h,Steep sand climb; good shoes; strong sun—bring water.,desert;dune;hike;photo
AEM_KATUTAU,Altyn Emel,summer,Katutau Mountains,Surreal volcanic rock formations; textures and shapes; great geology-style scenery.,1-2h + drive,Remote; capable vehicle; no facilities—carry water.,desert;mountains;geology;photo;offroad
AEM_AKTAU_MOUNTAINS,Altyn Emel,summer,Aktau Mountains (White Hills),Striped clay hills with layered colors; short walks among scenic ridges; very photogenic zone.,1-2h + drive,Fragile ground; stay on safe paths; windy/dusty at times.,desert;colorful;photo;easy
ILI_TAMGALY_TAS,Ili River,summer,Tamgaly Tas Petroglyphs,Rock carvings along the Ili River; short walk between panels; river viewpoints.,1-2h,Access varies by route/season; mind slippery rocks near water.,culture;petroglyphs;easy;photo
ILI_TANBALY_TAS,Ili River,summer,Tanbaly Tas (Petroglyphs),Alternate naming used in requests; same concept: petroglyphs + river viewpoints.,1-2h,Confirm exact site/drop-off with guide; keep naming consistent in itinerary.,culture;petroglyphs;easy
ALM_ISSYK_LAKE,Issyk,summer,Issyk Lake,Mountain lake near Almaty; easy viewpoints and walks; good combo with Turgen/Assy.,1-2h + drive,Best late spring–early autumn; weather can shift quickly.,nature;lake;easy;photo
ALM_GOLDEN_MAN_MUSEUM,Issyk,all,Museum of the Golden Man (Issyk),Compact local museum connected to the famous 'Golden Man' discovery; good history context.,45-90m,Check opening days/hours; payment options may vary.,museum;history;culture;easy
ALM_TURGEN_GORGE,Turgen,summer,Turgen Gorge,Green valley with forests and river scenery; scenic drive + short walks; summer escape.,1-3h + drive,Road conditions vary after rains; cooler in gorge—bring a layer.,nature;gorge;easy;photo
ALM_TURGEN_WATERFALL,Turgen,summer,Turgen Waterfall,Popular waterfall near Turgen; short hike to viewpoints; nice add-on to Issyk/Turgen day.,1-2h,Trail can be muddy; best flow spring/early summer; good shoes.,waterfall;hike;nature;photo
ALM_ASSY_PLATEAU,Assy Plateau,summer,Assy Plateau,Wide alpine plateau with open views; peaceful landscapes; potential stargazing.,1-2h + drive,High altitude: windy/cool; road may require capable vehicle.,plateau;mountains;photo;scenic
ALM_ETHNO_AUL_HUNS,Almaty,all,Ethno Aul 'Huns',Ethno-village experience; nomadic-style setting + optional activities; good cultural/food stop.,2-4h,Confirm program ahead (shows/activities); works well for families/groups.,culture;ethno;food;family
ALM_OI_QARAGAI,Almaty,all,Oi-Qaragai Mountain Resort,Mountain resort with seasonal activities; good for leisure or light adventure day.,3-6h,Activities depend on season/weather; book peak times in advance.,resort;mountains;family;adventure
ALM_AIRPORT,Almaty,all,Almaty International Airport (ALA),Arrival/departure logistics point; meet & greet; transfers; itinerary anchor.,Varies,Allow traffic buffer; night arrivals: plan 24/7 check-in.,logistics;transfer
ALM_ARBAT,Almaty,all,Arbat Pedestrian Street,Central walking street; cafes + street vibe; souvenirs; easy evening stroll.,1-2h,Best in evening; weekends can be crowded.,city;walk;shopping;easy
ALM_KBTU,Almaty,all,KBTU (Kazakh-British Technical University),Central landmark building area; quick photo stop while downtown.,10-30m,Stop-based; depends on route; no special requirements.,city;landmark;photo;easy
ALM_FIRST_PRESIDENT_PARK,Almaty,all,First President Park,Landscaped park with mountain views; relaxed walk; good photo/sunset spot.,45-90m,Best in good weather; evenings can be chilly.,park;city;easy;photo
ALM_ALMA_ARASAN,Almaty,all,Alma-Arasan Gorge,Mountain gorge close to Almaty; short hikes + nature scenery; half-day option.,2-4h,Some sections icy in winter; good shoes recommended.,nature;gorge;hike;easy
CHN_CHUNDZHA_HOT_SPRINGS,Chundzha,all,Chundzha Hot Springs,Thermal pools for relaxation; winter-friendly; often a dedicated long day trip.,3-6h on site + drive,Long drive; confirm pool quality; bring swimwear/towel; hydrate.,hotsprings;relax;wellness
ZHK_ZHARKENT,Zharkent,all,Zharkent,Historic town near the border; cultural stop (often with mosque/architecture).,1-2h,Confirm site schedule; combine efficiently with Khorgos.,town;culture;easy
KHG_KHORGOS,Khorgos,all,Khorgos Border Area,Border logistics + optional shopping/visit depending on plan; requires clear entry plan.,2-5h,Border timing/rules can change; plan buffers; carry passports.,border;logistics;shopping
ALM_AYUSAI_GORGE,Almaty,all,Ayusai Gorge,Easy-moderate mountain walk; forest sections and viewpoints; popular half-day hike.,2-4h,Trail conditions vary; bring water; avoid slippery edges.,hike;nature;waterfall;photo
ALM_HOBBIT_WATERFALL,Almaty,summer,Hobbit Waterfall (Ayusai area),Small scenic waterfall popular for photos; short hike access; nice add-on to Ayusai.,1-2h,Seasonal flow; can be crowded on weekends.,waterfall;hike;photo
ALM_GORELNIK_TRAIL,Almaty,all,Gorelnik Trail (near Shymbulak),Active hiking route with viewpoints; pairs well with Shymbulak area day.,2-5h,Weather shifts fast; icy in winter—spikes recommended.,hike;mountains;active;photo
ALM_TAUDASTARKHAN_HOT_SPRINGS,Almaty Region,all,Taudastarkhan Hot Springs,Regional hot springs relaxation stop; alternative to longer hot-spring trips.,2-4h,Confirm exact location/working hours; bring swimwear/towel.,hotsprings;relax;wellness
ALM_FORUM_MALL,Almaty,all,Forum Mall,Modern mall for free time; food court + shops; good light evening activity.,1-3h,Peak traffic/parking at busy hours.,shopping;city;easy
ALM_MEGA_AL_FARABI,Almaty,all,MEGA Mall (Al-Farabi),Large mall for shopping and dining; good last-day free time; convenient meeting point.,2-4h,Busy at peak hours; plan buffer for airport transfers.,shopping;city;easy
ALM_BOTANICAL_GARDEN,Almaty,all,Almaty Botanical Garden,Calm green space for walks and photos; good soft activity between tours.,1-2h,Best in spring bloom; check opening hours.,garden;city;easy;photo
ALM_MODERN_ART_MUSEUM,Almaty,all,Museum of Modern Art (Almaty),Indoor cultural stop; good for bad-weather day; pairs with museums/parks.,1-2h,Check opening days/hours; photo rules may apply.,museum;art;city;easy
KON_KONAYEV,Konayev (Kapchagay),all,Konayev,Lakeside city area for short getaway; cafes and seasonal beach vibe; relaxed day trip.,2-5h + drive,Weekend traffic; hot in midsummer—plan timing.,daytrip;lake;relax;city